Date,Open,High,Low,Close,Adj Close,Volume
2012-07-25,3.070000,3.190000,3.010000,3.090000,3.030251,390438592
2012-07-26,3.120000,3.180000,3.110000,3.150000,3.089091,64182800
2012-07-27,3.170000,3.200000,3.150000,3.150000,3.089091,39107800
2012-07-30,3.170000,3.190000,3.150000,3.150000,3.089091,31685000
2012-07-31,3.160000,3.200000,3.140000,3.200000,3.138124,34952900
2012-08-01,3.190000,3.190000,3.150000,3.150000,3.089091,17930300
2012-08-02,3.160000,3.180000,3.150000,3.160000,3.098898,17596800
2012-08-03,3.160000,3.160000,3.130000,3.150000,3.089091,24437800
2012-08-06,3.170000,3.190000,3.160000,3.190000,3.128317,30064100
2012-08-07,3.190000,3.260000,3.190000,3.250000,3.187157,148223200
2012-08-08,3.230000,3.230000,3.180000,3.190000,3.128317,28714900
2012-08-09,3.200000,3.210000,3.170000,3.180000,3.118510,12922800
2012-08-10,3.190000,3.200000,3.160000,3.200000,3.138124,10644500
2012-08-13,3.190000,3.210000,3.170000,3.170000,3.108704,9882300
2012-08-14,3.180000,3.180000,3.150000,3.170000,3.108704,8376000
2012-08-15,3.170000,3.180000,3.150000,3.160000,3.098898,6662800
2012-08-16,3.170000,3.170000,3.120000,3.120000,3.059671,11549000
2012-08-17,3.150000,3.170000,3.120000,3.120000,3.059671,18910200
2012-08-22,3.130000,3.150000,3.110000,3.110000,3.049864,17204500
2012-08-23,3.110000,3.130000,3.110000,3.120000,3.059671,9350800
2012-08-24,3.110000,3.130000,3.110000,3.120000,3.059671,6247000
2012-08-27,3.120000,3.130000,3.110000,3.110000,3.049864,7981300
2012-08-28,3.110000,3.130000,3.100000,3.110000,3.049864,9551900
2012-08-29,3.140000,3.170000,3.140000,3.170000,3.108704,9644600
2012-08-30,3.170000,3.200000,3.140000,3.200000,3.138124,16341700
2012-09-03,3.180000,3.180000,3.140000,3.150000,3.089091,9191500
2012-09-04,3.140000,3.160000,3.130000,3.150000,3.089091,7212500
2012-09-05,3.150000,3.150000,3.120000,3.130000,3.069478,9177500
2012-09-06,3.120000,3.130000,3.100000,3.110000,3.049864,8906200
2012-09-07,3.100000,3.120000,3.100000,3.110000,3.049864,7604800
2012-09-10,3.120000,3.120000,3.100000,3.110000,3.049864,7687000
2012-09-11,3.110000,3.110000,3.060000,3.090000,3.030251,12539100
2012-09-12,3.090000,3.120000,3.080000,3.120000,3.059671,8783000
2012-09-13,3.120000,3.150000,3.110000,3.140000,3.079284,5220900
2012-09-14,3.160000,3.190000,3.150000,3.180000,3.118510,8077800
2012-09-18,3.180000,3.190000,3.180000,3.180000,3.118510,10862100
2012-09-19,3.160000,3.200000,3.160000,3.180000,3.118510,6924800
2012-09-20,3.170000,3.190000,3.170000,3.190000,3.128317,3619500
2012-09-21,3.170000,3.190000,3.170000,3.190000,3.128317,10392400
2012-09-24,3.180000,3.190000,3.170000,3.180000,3.118510,5108800
2012-09-25,3.170000,3.190000,3.170000,3.180000,3.118510,4086800
2012-09-26,3.180000,3.190000,3.180000,3.180000,3.118510,4173900
2012-09-27,3.180000,3.200000,3.180000,3.200000,3.138124,5675400
2012-09-28,3.190000,3.210000,3.190000,3.200000,3.138124,8941800
2012-10-01,3.200000,3.200000,3.170000,3.180000,3.118510,3066600
2012-10-02,3.190000,3.190000,3.170000,3.190000,3.128317,2270100
2012-10-03,3.190000,3.200000,3.170000,3.200000,3.138124,2955600
2012-10-04,3.180000,3.200000,3.180000,3.190000,3.128317,3385100
2012-10-05,3.180000,3.190000,3.180000,3.190000,3.128317,3066600
2012-10-08,3.190000,3.190000,3.170000,3.190000,3.128317,3386700
2012-10-09,3.180000,3.200000,3.170000,3.200000,3.138124,1878400
2012-10-10,3.180000,3.200000,3.180000,3.190000,3.128317,2461700
2012-10-11,3.180000,3.200000,3.180000,3.200000,3.138124,3385500
2012-10-12,3.190000,3.200000,3.190000,3.200000,3.138124,2602100
2012-10-15,3.180000,3.200000,3.180000,3.200000,3.138124,2526400
2012-10-16,3.200000,3.200000,3.180000,3.200000,3.138124,3811700
